## gencode.genes
## GENCODE protein coding genes, combined with entrez id's from GENCODE, and combined with Ensembl product description and transcript type from https://www.ensembl.org/biomart
## GRCh37/hg19, date: 2018-03-27, evidence-based annotation of the human genome, version 28 (Ensembl 92), mapped to GRCh37 with gencode-backmap
## PGC bioinformatics, PF Sullivan & Johan Kallberg Zvrskovec, Karolinska Institutet, 2018
## Rows: 5 comments, header, 19724 entries. Columns: 9
#chr	bp1	bp2	geneName	entrez	ensembl	ttype	strand	product
chr1	24683489	24743424	STPG1	90529	ENSG00000001460.17_4	protein_coding	-	"sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]"
chr1	24742284	24799466	NIPAL3	57185	ENSG00000001461.16_3	protein_coding	+	"NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
chrX	64732462	64754655	LAS1L	81887	ENSG00000001497.16_3	protein_coding	-	"LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
chr6	46097730	46114436	ENPP4	22875	ENSG00000001561.6_3	protein_coding	+	"ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
chr3	50192478	50226508	SEMA3F	6405	ENSG00000001617.11_3	protein_coding	+	"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
chr7	117105838	117356025	CFTR	1080	ENSG00000001626.14_3	protein_coding	+	"cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]"
chr7	91875548	92030698	ANKIB1	54467	ENSG00000001629.9_3	protein_coding	+	"ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
chr7	91741465	91772266	CYP51A1	1595	ENSG00000001630.15_4	protein_coding	-	"cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]"
chr7	91828283	91875480	KRIT1	889	ENSG00000001631.15_4	protein_coding	-	"KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]"
chr12	1021243	1099219	RAD52	5893	ENSG00000002016.17_3	protein_coding	-	"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]"
chr11	64037302	64052176	BAD	572	ENSG00000002330.13_4	protein_coding	-	"BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
chr4	17578815	17609595	LAP3	51056	ENSG00000002549.12_4	protein_coding	+	"leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]"
chrX	2609174	2659350	CD99	4267	ENSG00000002586.19_4	protein_coding	+	"CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
chrY	2559174	2609350	CD99	4267	ENSG00000002586.19_4	protein_coding	+	"CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
chr4	11394774	11431389	HS3ST1	9957	ENSG00000002587.9_3	protein_coding	-	"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
chr7	150521715	150558592	AOC1	26	ENSG00000002726.20_4	protein_coding	+	"amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]"
chr7	120965421	120981158	WNT16	51384	ENSG00000002745.12_4	protein_coding	+	"Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]"
chr7	43152198	43605600	HECW1	23072	ENSG00000002746.14_3	protein_coding	+	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
chr7	1855429	2272878	MAD1L1	8379	ENSG00000002822.15_3	protein_coding	-	"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
chr17	37026112	37078023	LASP1	3927	ENSG00000002834.17_3	protein_coding	+	"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]"
chr17	46180719	46200436	SNX11	29916	ENSG00000002919.14_3	protein_coding	+	"sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]"
chr7	150497491	150502208	TMEM176A	55365	ENSG00000002933.7_4	protein_coding	+	"transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]"
chr12	9092959	9102551	M6PR	.	ENSG00000003056.3	protein_coding	-	"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]"
chr12	9092959	9102551	M6PR	4074	ENSG00000003056.3	protein_coding	-	"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]"
chrX	117031776	117251303	KLHL13	90293	ENSG00000003096.14_4	protein_coding	-	"kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]"
chr2	72356367	72375167	CYP26B1	56603	ENSG00000003137.8_3	protein_coding	-	"cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
chr7	8152814	8302317	ICA1	3382	ENSG00000003147.17_4	protein_coding	-	"islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]"
chr16	90071273	90086536	DBNDD1	79007	ENSG00000003249.13_3	protein_coding	-	"dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]"
chr2	202565277	202645912	ALS2	57679	ENSG00000003393.14_3	protein_coding	-	"ALS2, alsin Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:443]"
chr2	202047604	202094129	CASP10	843	ENSG00000003400.14_4	protein_coding	+	"caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
chr2	201980827	202041410	CFLAR	8837	ENSG00000003402.19_3	protein_coding	+	"CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
chr2	188328957	188430487	TFPI	7035	ENSG00000003436.15_5	protein_coding	-	"tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]"
chr2	37458774	37480546	NDUFAF7	55471	ENSG00000003509.15_3	protein_coding	+	"NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]"
chr3	50126341	50156454	RBM5	10181	ENSG00000003756.16_4	protein_coding	+	"RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]"
chr8	17155539	17271037	MTMR7	9108	ENSG00000003987.13_3	protein_coding	-	"myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]"
chr8	17354597	17428082	SLC7A2	6542	ENSG00000003989.17_4	protein_coding	+	"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
chr7	127228399	127231759	ARF5	381	ENSG00000004059.10_4	protein_coding	+	"ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]"
chr17	26691378	26731067	SARM1	23098	ENSG00000004139.13_3	protein_coding	+	"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]"
chr17	26674203	26684545	POLDIP2	26073	ENSG00000004142.11_3	protein_coding	-	"DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]"
chr3	129274018	129325661	PLXND1	23129	ENSG00000004399.12_4	protein_coding	-	"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]"
chr1	33473541	33546597	AK2	204	ENSG00000004455.16_3	protein_coding	-	"adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]"
chr4	15779898	15854853	CD38	952	ENSG00000004468.12_3	protein_coding	+	"CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]"
chr12	2904119	2914589	FKBP4	2288	ENSG00000004478.7_3	protein_coding	+	"FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]"
chr1	23345936	23410182	KDM1A	23028	ENSG00000004487.16_4	protein_coding	+	"lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]"
chr3	49977440	50137478	RBM6	10180	ENSG00000004534.14_3	protein_coding	+	"RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]"
chr17	3763609	3798185	CAMKK1	84254	ENSG00000004660.14_3	protein_coding	-	"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]"
chr12	21621845	21654603	RECQL	5965	ENSG00000004700.15_3	protein_coding	-	"RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]"
chr7	92861653	92990433	VPS50	55610	ENSG00000004766.15_3	protein_coding	+	"VPS50, EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]"
chr19	36245470	36248980	HSPB6	126393	ENSG00000004776.12_3	protein_coding	-	"heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]"
chr19	36265434	36279724	ARHGAP33	115703	ENSG00000004777.18_3	protein_coding	+	"Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]"
chr16	23592323	23607677	NDUFAB1	4706	ENSG00000004779.9_3	protein_coding	-	"NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]"
chr7	95212811	95225803	PDK4	5166	ENSG00000004799.7_3	protein_coding	-	"pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
chr6	110745890	110797844	SLC22A16	85413	ENSG00000004809.13_4	protein_coding	-	"solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]"
chr3	50378541	50384283	ZMYND10	51364	ENSG00000004838.13_4	protein_coding	-	"zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]"
chr7	20654830	20816658	ABCB5	340273	ENSG00000004846.16_3	protein_coding	+	"ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]"
chrX	25021811	25034537	ARX	170302	ENSG00000004848.7_3	protein_coding	-	"aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]"
chr7	95749532	95951459	SLC25A13	10165	ENSG00000004864.13_3	protein_coding	-	"solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]"
chr7	116593292	116870157	ST7	7982	ENSG00000004866.20_4	protein_coding	+	"suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]"
chr17	45195069	45266788	CDC27	996	ENSG00000004897.11_3	protein_coding	-	"cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]"
chr17	42325753	42345509	SLC4A1	6521	ENSG00000004939.14_4	protein_coding	-	"solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]"
chr7	93053799	93204042	CALCR	799	ENSG00000004948.13_3	protein_coding	-	"calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]"
chrX	11129421	11141198	HCCS	3052	ENSG00000004961.14_3	protein_coding	+	"holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]"
chr17	7128660	7137864	DVL2	1856	ENSG00000004975.11_3	protein_coding	-	"dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]"
chr16	2902728	2908171	PRSS22	64063	ENSG00000005001.9_3	protein_coding	-	"serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]"
chr19	18942747	18979045	UPF1	5976	ENSG00000005007.12_4	protein_coding	+	"UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]"
chr7	26706681	27034858	SKAP2	8935	ENSG00000005020.12_3	protein_coding	-	"src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]"
chrX	118602363	118605282	SLC25A5	292	ENSG00000005022.5_3	protein_coding	+	"solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]"
chr4	110481361	110609882	CCDC109B	55013	ENSG00000005059.15_4	protein_coding	+	"mitochondrial calcium uniporter dominant negative beta subunit [Source:HGNC Symbol;Acc:HGNC:26076]"
chr7	27221129	27224842	HOXA11	3207	ENSG00000005073.5_3	protein_coding	-	"homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]"
chr7	102113565	102119354	POLR2J	5439	ENSG00000005075.15_3	protein_coding	-	"RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]"
chr17	5344232	5372380	DHX33	56919	ENSG00000005100.12_4	protein_coding	-	"DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]"
chr17	41717756	41739322	MEOX1	4222	ENSG00000005102.12_3	protein_coding	-	"mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]"
chr7	11409984	11871824	THSD7A	221981	ENSG00000005108.15_3	protein_coding	-	"thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]"
chr17	33307513	33336762	LIG3	3980	ENSG00000005156.11_4	protein_coding	+	"DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]"
chr12	48055032	48099844	RPAP3	79657	ENSG00000005175.9_3	protein_coding	-	"RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]"
chr16	20621565	20808903	ACSM3	6296	ENSG00000005187.11_3	protein_coding	+	"acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]"
chr16	20817751	20860990	AC004381.6	81691	ENSG00000005189.19_5	protein_coding	+	"RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]"
chr16	57462081	57481440	CIAPIN1	57019	ENSG00000005194.14_3	protein_coding	-	"cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]"
chr19	2328614	2354804	SPPL2B	56928	ENSG00000005206.16_1	protein_coding	+	"signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]"
chr9	35104109	35116338	FAM214B	80256	ENSG00000005238.19_3	protein_coding	-	"family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]"
chr17	46103533	46115392	COPZ2	51226	ENSG00000005243.9_3	protein_coding	-	"coatomer protein complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
chr7	106685094	106802256	PRKAR2B	5577	ENSG00000005249.12_3	protein_coding	+	"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
chrX	11776278	11793872	MSL3	10943	ENSG00000005302.17_3	protein_coding	+	"MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]"
chr16	3775055	3930727	CREBBP	1387	ENSG00000005339.14_4	protein_coding	-	"CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]"
chr17	56378589	56406121	BZRAP1	9256	ENSG00000005379.15_4	protein_coding	-	"TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]"
chr17	56347217	56358296	MPO	4353	ENSG00000005381.7_3	protein_coding	-	"myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]"
chr7	94926988	94954019	PON1	5444	ENSG00000005421.8_3	protein_coding	-	"paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]"
chr2	75879126	75938115	GCFC2	6936	ENSG00000005436.13_4	protein_coding	-	"GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]"
chr2	74648805	74652882	WDR54	84058	ENSG00000005448.16_3	protein_coding	+	"WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]"
chr7	86974997	87029111	CROT	54677	ENSG00000005469.11_3	protein_coding	+	"carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]"
chr7	87031013	87109751	ABCB4	5244	ENSG00000005471.16_4	protein_coding	-	"ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]"
chr7	104654626	104754808	KMT2E	55904	ENSG00000005483.20_3	protein_coding	+	"lysine methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]"
chr7	75471920	75518244	RHBDD2	57414	ENSG00000005486.16_3	protein_coding	+	"rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]"
chr16	1031808	1036979	SOX8	30812	ENSG00000005513.9_3	protein_coding	+	"SRY-box 8 [Source:HGNC Symbol;Acc:HGNC:11203]"
chr6	82879700	82957471	IBTK	25998	ENSG00000005700.14_4	protein_coding	-	"inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]"
chr11	3360491	3400452	ZNF195	7748	ENSG00000005801.16_4	protein_coding	-	"zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]"
chr13	77618790	77901185	MYCBP2	23077	ENSG00000005810.17_1	protein_coding	-	"MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]"
chr13	77566733	77601330	FBXL3	26224	ENSG00000005812.10_4	protein_coding	-	"F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]"
chr16	30483979	30534506	ITGAL	3683	ENSG00000005844.17_3	protein_coding	+	"integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]"
chr17	48172101	48189516	PDK2	5164	ENSG00000005882.11_4	protein_coding	+	"pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]"
chr17	48133332	48167845	ITGA3	3675	ENSG00000005884.17_3	protein_coding	+	"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
chrX	24167290	24234372	ZFX	7543	ENSG00000005889.15_4	protein_coding	+	"zinc finger protein, X-linked [Source:HGNC Symbol;Acc:HGNC:12869]"
chrX	119561682	119603220	LAMP2	3920	ENSG00000005893.15_4	protein_coding	-	"lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]"
chr17	42449548	42466873	ITGA2B	3674	ENSG00000005961.17_3	protein_coding	-	"integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]"
chr7	95107756	95169544	ASB4	51666	ENSG00000005981.12_3	protein_coding	+	"ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]"
chr16	19513011	19533467	GDE1	51573	ENSG00000006007.11_3	protein_coding	-	"glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]"
chr19	18699495	18703146	C19orf60	55049	ENSG00000006015.17_4	protein_coding	+	"required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]"
chr19	18683030	18718551	CRLF1	9244	ENSG00000006016.10_3	protein_coding	-	"cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]"
chr17	45884738	45899200	OSBPL7	114881	ENSG00000006025.11_3	protein_coding	-	"oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]"
chr17	31254928	31272124	TMEM98	26022	ENSG00000006042.11_4	protein_coding	+	"transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]"
chr17	7191571	7197934	YBX2	51087	ENSG00000006047.12_3	protein_coding	-	"Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]"
chr17	39502344	39507064	KRT33A	3883	ENSG00000006059.3_3	protein_coding	-	"keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]"
chr17	43340488	43394406	MAP3K14	9020	ENSG00000006062.14_3	protein_coding	-	"mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]"
chr11	17414045	17498426	ABCC8	6833	ENSG00000006071.13_4	protein_coding	-	"ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]"
chr16	24266874	24374122	CACNG3	10368	ENSG00000006116.3_3	protein_coding	+	"calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]"
chr11	60691935	60704631	TMEM132A	54972	ENSG00000006118.14_4	protein_coding	+	"transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]"
chr17	33905065	34053428	AP2B1	163	ENSG00000006125.17_5	protein_coding	+	"adaptor related protein complex 2 beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:563]"
chr7	97361220	97369784	TAC1	6863	ENSG00000006128.11_5	protein_coding	+	"tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]"
chr16	3313800	3351401	ZNF263	10127	ENSG00000006194.9_3	protein_coding	+	"zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]"
chr16	57406370	57418960	CX3CL1	6376	ENSG00000006210.6_4	protein_coding	+	"C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]"
chr17	48620419	48633213	SPATA20	64847	ENSG00000006282.20_4	protein_coding	+	"spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]"
chr17	48638429	48704835	CACNA1G	8913	ENSG00000006283.17_3	protein_coding	+	"calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]"
chr16	3068446	3072384	TNFRSF12A	51330	ENSG00000006327.13_3	protein_coding	+	"TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]"
chr7	96634860	96640351	DLX6	1750	ENSG00000006377.10_3	protein_coding	+	"distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]"
chr14	71189243	71276251	MAP3K9	4293	ENSG00000006432.15_3	protein_coding	-	"mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]"
chr7	39663082	39747723	RALA	5898	ENSG00000006451.7_3	protein_coding	+	"RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]"
chr7	97920963	98030380	BAIAP2L1	55971	ENSG00000006453.13_3	protein_coding	-	"BAI1 associated protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]"
chr7	139784546	139876835	KDM7A	80853	ENSG00000006459.10_3	protein_coding	-	"lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]"
chr7	13930853	14031050	ETV1	2115	ENSG00000006468.13_4	protein_coding	-	"ETS variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]"
chr7	141250989	141355044	AGK	55750	ENSG00000006530.15_3	protein_coding	+	"acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]"
chr11	67776048	67796749	ALDH3B1	221	ENSG00000006534.15_3	protein_coding	+	"aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
chr1	55245385	55266940	TTC22	55001	ENSG00000006555.10_4	protein_coding	-	"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]"
chr7	77428109	77586820	PHTF2	57157	ENSG00000006576.16_3	protein_coding	+	"putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]"
chr7	75398851	75419214	CCL26	10344	ENSG00000006606.8_3	protein_coding	-	"C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625]"
chr2	242295658	242434256	FARP2	9855	ENSG00000006607.13_3	protein_coding	+	"FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]"
chr11	17515442	17565963	USH1C	10083	ENSG00000006611.15_4	protein_coding	-	"USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]"
chr7	30536237	30544460	GGCT	79017	ENSG00000006625.17_3	protein_coding	-	"gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]"
chr7	87505531	87538856	DBF4	10926	ENSG00000006634.7_3	protein_coding	+	"DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]"
chr19	3594504	3606838	TBXA2R	6915	ENSG00000006638.11_3	protein_coding	-	"thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]"
chr7	112063023	112121072	IFRD1	3475	ENSG00000006652.13_4	protein_coding	+	"interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]"
chr19	40194946	40200084	LGALS14	56891	ENSG00000006659.12_3	protein_coding	+	"galectin 14 [Source:HGNC Symbol;Acc:HGNC:30054]"
chr17	13972813	14111994	COX10	1352	ENSG00000006695.10_3	protein_coding	+	"COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:2260]"
chr7	73868120	74016930	GTF2IRD1	9569	ENSG00000006704.10_4	protein_coding	+	"GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]"
chr19	39876492	39881835	PAF1	54623	ENSG00000006712.14_3	protein_coding	-	"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]"
chr7	38762563	38971994	VPS41	27072	ENSG00000006715.15_3	protein_coding	-	"VPS41, HOPS complex subunit [Source:HGNC Symbol;Acc:HGNC:12713]"
chr17	12692856	12894960	ARHGAP44	9912	ENSG00000006740.16_3	protein_coding	+	"Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]"
chr17	12895708	12921504	ELAC2	60528	ENSG00000006744.18_4	protein_coding	-	"elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]"
chr7	12610203	12699804	SCIN	85477	ENSG00000006747.14_3	protein_coding	+	"scinderin [Source:HGNC Symbol;Acc:HGNC:21695]"
chrX	2822011	2847392	ARSD	414	ENSG00000006756.15_3	protein_coding	-	"arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
chrX	7866288	7895780	PNPLA4	8228	ENSG00000006757.11_3	protein_coding	-	"patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]"
