## gwas.catalog
## NHGRI/EBI GWAS catalog, gwsig findings
## GRCh37/hg19, source=gwas_catalog_v1.0.2-associations_e92_r2018-05-03.tsv from https://www.ebi.ac.uk/gwas/docs/file-downloads, new GRCh37/hg19 bp coordinates from Ensembl rest api http://grch37.rest.ensembl.org/variation/human/
## PGC bioinformatics, PF Sullivan & Johan Kallberg Zvrskovec, Karolinska Institutet, 2018
## Rows: 5 comments, header, 28500 entries. Columns: 7
#chr	bp1	bp2	snpid	pvalue	pmid	trait
chr11	61597972	61597972	rs1535	5e-14	25646338	"Trans fatty acid levels"
chr11	61597972	61597972	rs1535	5e-45	28334899	"LDL cholesterol levels"
chr11	61597972	61597972	rs1535	3e-63	21829377	"Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid)"
chr11	61597972	61597972	rs1535	3e-09	26192919	"Inflammatory bowel disease"
chr11	61597972	61597972	rs1535	3e-152	21829377	"Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)"
chr11	61597972	61597972	rs1535	8e-48	26068415	"Glycerophospholipid levels"
chr4	187195551	187195551	rs1593	2e-18	22703881	"Activated partial thromboplastin time"
chr6	28227604	28227604	rs1635	7e-12	22037552	"Schizophrenia"
chr16	15130351	15130351	rs1741	2e-10	24823311	"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)"
chr4	15664535	15664535	rs1789	4e-20	28240269	"Blood protein levels"
chr6	31382911	31382911	rs1882	1e-19	27863252	"Platelet distribution width"
chr6	31382911	31382911	rs1882	5e-19	27863252	"Eosinophil percentage of white cells"
chr15	41774423	41774423	rs1942	1e-12	27863252	"Eosinophil percentage of granulocytes"
chr10	54525509	54525509	rs2506	6e-16	28240269	"Blood protein levels"
chr16	15132108	15132108	rs2740	5e-32	24816252	"Blood metabolite ratios"
chr6	33033022	33033022	rs3077	1e-09	22737229	"Hepatitis B (viral clearance)"
chr6	33033022	33033022	rs3077	2e-61	21750111	"Hepatitis B"
chr6	33033022	33033022	rs3077	4e-45	22737229	"Hepatitis B (viral clearance)"
chr6	33033022	33033022	rs3077	5e-39	23760081	"Chronic hepatitis B infection"
chr6	33033022	33033022	rs3077	1e-53	25802187	"Chronic hepatitis B infection"
chr15	91045408	91045408	rs3540	1e-22	27863252	"Lymphocyte counts"
chr15	91045408	91045408	rs3540	3e-11	29083406	"Allergic disease (asthma, hay fever or eczema)"
chr1	161188893	161188893	rs3557	2e-13	27863252	"Mean platelet volume"
chr3	52833805	52833805	rs3617	2e-09	27863252	"Red blood cell count"
chr3	52833805	52833805	rs3617	3e-12	28540026	"Autism spectrum disorder or schizophrenia"
chr12	121177272	121177272	rs3916	2e-22	24586186	"Urinary metabolites (H-NMR features)"
chr2	169721381	169721381	rs3931	8e-14	27863252	"Monocyte count"
chr8	11702375	11702375	rs3947	2e-27	28240269	"Blood protein levels"
chr17	7491177	7491177	rs4227	4e-10	22197929	"IgA nephropathy"
chr7	93551428	93551428	rs4262	5e-19	28613276	"Heart rate variability traits (SDNN)"
chr7	93551428	93551428	rs4262	4e-17	28613276	"Heart rate variability traits (SDNN)"
chr7	93551428	93551428	rs4262	2e-11	28613276	"Heart rate variability traits (pvRSA/HF)"
chr7	93551428	93551428	rs4262	2e-11	28613276	"Heart rate variability traits (pvRSA/HF)"
chr7	92236829	92236829	rs4272	5e-09	24390342	"Rheumatoid arthritis"
chr7	92236829	92236829	rs4272	2e-28	27863252	"Granulocyte percentage of myeloid white cells"
chr7	92236829	92236829	rs4272	4e-09	27863252	"Eosinophil counts"
chr17	61559625	61559625	rs4308	7e-14	28135244	"Diastolic blood pressure"
chr17	61563458	61563458	rs4329	8e-20	21886157	"Metabolic traits"
chr17	61566031	61566031	rs4343	9e-25	24625756	"Serum metabolite levels"
chr17	61566031	61566031	rs4343	1e-37	24816252	"Blood metabolite ratios"
chr17	61566031	61566031	rs4343	8e-14	24625756	"Serum metabolite levels"
chr17	61566031	61566031	rs4343	1e-18	24625756	"Serum metabolite levels"
chr17	61566031	61566031	rs4343	3e-25	20066004	"Angiotensin-converting enzyme activity"
chr17	61569732	61569732	rs4351	9e-13	23281178	"Metabolite levels"
chr17	61569732	61569732	rs4351	4e-22	24816252	"Blood metabolite levels"
chr17	61569732	61569732	rs4351	1e-19	24816252	"Blood metabolite levels"
chr17	61569732	61569732	rs4351	1e-14	24816252	"Blood metabolite levels"
chr17	61569732	61569732	rs4351	3e-17	24816252	"Blood metabolite levels"
chr17	61573761	61573761	rs4362	1e-21	24816252	"Blood metabolite levels"
chr1	169511755	169511755	rs4524	3e-11	25772935	"Venous thromboembolism"
chr1	169511734	169511734	rs4525	2e-110	28240269	"Blood protein levels"
chr4	72618323	72618323	rs4588	2e-263	28757204	"Vitamin D levels"
chr3	49572140	49572140	rs4625	8e-11	26301688	"Pediatric autoimmune diseases"
chr22	19951271	19951271	rs4680	1e-13	24816252	"Blood metabolite levels"
chr22	19951271	19951271	rs4680	5e-178	24816252	"Blood metabolite levels"
chr15	91426560	91426560	rs4702	3e-12	26198764	"Schizophrenia"
chr15	91426560	91426560	rs4702	1e-10	28540026	"Autism spectrum disorder or schizophrenia"
chr15	91426560	91426560	rs4702	8e-14	25056061	"Schizophrenia"
chr19	44153100	44153100	rs4760	2e-33	27863252	"Neutrophil percentage of white cells"
chr19	44153100	44153100	rs4760	1e-68	27863252	"Neutrophil count"
chr19	44153100	44153100	rs4760	1e-66	27863252	"Granulocyte count"
chr19	44153100	44153100	rs4760	5e-59	27863252	"White blood cell count"
chr19	44153100	44153100	rs4760	2e-63	27863252	"Myeloid white cell count"
chr19	44153100	44153100	rs4760	6e-27	27863252	"Monocyte percentage of white cells"
chr19	44153100	44153100	rs4760	5e-68	27863252	"Sum basophil neutrophil counts"
chr19	44153100	44153100	rs4760	1e-37	27863252	"Granulocyte percentage of myeloid white cells"
chr19	44153100	44153100	rs4760	1e-09	27863252	"Neutrophil percentage of granulocytes"
chr19	44153100	44153100	rs4760	9e-23	27863252	"Lymphocyte percentage of white cells"
chr19	44153100	44153100	rs4760	5e-67	27863252	"Sum neutrophil eosinophil counts"
chr2	219138940	219138940	rs4791	2e-16	27863252	"Reticulocyte count"
chr2	219138940	219138940	rs4791	3e-18	27863252	"Reticulocyte fraction of red cells"
chr2	219138940	219138940	rs4791	9e-16	27863252	"High light scatter reticulocyte count"
chr19	45448465	45448465	rs5167	2e-69	28240269	"Blood protein levels"
chr11	17408630	17408630	rs5215	9e-10	22885922	"Type 2 diabetes"
chr11	17408630	17408630	rs5215	5e-11	17463249	"Type 2 diabetes"
chr11	17408630	17408630	rs5215	3e-11	28892062	"Body mass index"
chr11	17408630	17408630	rs5215	3e-11	24509480	"Type 2 diabetes"
chr11	17408630	17408630	rs5215	1e-20	28869590	"Type 2 diabetes"
chr11	17408630	17408630	rs5215	8e-14	28869590	"Type 2 diabetes"
chr11	17409572	17409572	rs5219	7e-11	17463248	"Type 2 diabetes"
chr11	17409572	17409572	rs5219	7e-11	17463246	"Type 2 diabetes"
chr11	17409572	17409572	rs5219	1e-09	19056611	"Type 2 diabetes"
chr6	12296255	12296255	rs5370	1e-27	23381795	"Circulating vasoactive peptide levels"
chr17	7185062	7185062	rs5417	1e-13	28135244	"Diastolic blood pressure"
chr12	6954864	6954864	rs5442	2e-14	27182965	"Myopia"
chr19	10395683	10395683	rs5498	8e-267	28240269	"Blood protein levels"
chr19	10395683	10395683	rs5498	5e-25	18604267	"Soluble ICAM-1"
chr19	10395683	10395683	rs5498	6e-89	21533024	"Soluble ICAM-1"
chr19	10395683	10395683	rs5498	7e-30	27863252	"Lymphocyte counts"
chr19	10395683	10395683	rs5498	2e-32	28240269	"Blood protein levels"
chr17	42430244	42430244	rs5848	5e-14	29186428	"Progranulin levels"
chr7	23314547	23314547	rs5850	8e-14	28240269	"Blood protein levels"
chr16	57015091	57015091	rs5880	2e-16	24886709	"HDL cholesterol"
chr6	6318795	6318795	rs5985	3e-186	23381943	"End-stage coagulation"
chr1	197031021	197031021	rs6003	2e-14	28240269	"Blood protein levels"
chr1	169519049	169519049	rs6025	7e-50	28373160	"Venous thromboembolism"
chr1	169519049	169519049	rs6025	4e-137	26908601	"Thrombosis"
chr1	169519049	169519049	rs6025	2e-22	22672568	"Venous thromboembolism"
chr1	169519049	169519049	rs6025	1e-96	25772935	"Venous thromboembolism"
chr1	169551682	169551682	rs6028	3e-09	22703881	"Activated partial thromboplastin time"
chr1	169521853	169521853	rs6033	5e-25	28240269	"Blood protein levels"
chr13	113772707	113772707	rs6041	2e-45	23381943	"End-stage coagulation"
chr4	155507590	155507590	rs6050	9e-90	21757653	"Fibrinogen"
chr4	155489608	155489608	rs6054	2e-53	26561523	"Fibrinogen levels"
chr4	155488821	155488821	rs6056	8e-39	20031577	"Fibrinogen"
chr17	4836381	4836381	rs6065	3e-11	22139419	"Platelet count"
chr17	4836381	4836381	rs6065	2e-12	20139978	"Platelet count"
chr19	51380110	51380110	rs6070	4e-16	28139693	"Prostate-specific antigen levels (conditioned on lead SNPs)"
chr1	169563951	169563951	rs6136	1e-25	28240269	"Blood protein levels"
chr1	169563951	169563951	rs6136	4e-61	20167578	"Soluble levels of adhesion molecules"
chr3	184090266	184090266	rs6141	5e-11	20139978	"Platelet count"
chr5	95728898	95728898	rs6235	1e-26	21873549	"Proinsulin levels"
chr5	95728898	95728898	rs6235	5e-15	23903356	"Glycemic traits (pregnancy)"
chr17	7534678	7534678	rs6258	2e-22	21998597	"Testosterone levels"
chr17	7534678	7534678	rs6258	3e-46	22829776	"Sex hormone-binding globulin levels"
chr11	27679916	27679916	rs6265	5e-10	19079260	"Body mass index"
chr11	27679916	27679916	rs6265	1e-14	25673412	"Hip circumference"
chr11	27679916	27679916	rs6265	1e-09	25673412	"Hip circumference"
chr11	27679916	27679916	rs6265	2e-51	28892062	"Body mass index"
chr16	50709723	50709723	rs6596	2e-54	28008999	"Crohn's disease"
chr16	50709723	50709723	rs6596	4e-22	28008999	"Inflammatory bowel disease"
chr16	50709723	50709723	rs6596	8e-45	28008999	"Crohn's disease"
chr16	50709723	50709723	rs6596	3e-24	28008999	"Inflammatory bowel disease"
chr16	50709723	50709723	rs6596	5e-13	28008999	"Inflammatory bowel disease"
chr16	50709723	50709723	rs6596	6e-26	28008999	"Crohn's disease"
chr7	27138183	27138183	rs6668	2e-13	27182965	"Tonsillectomy"
chr7	27138183	27138183	rs6668	2e-13	28928442	"Tonsillectomy"
chr11	838722	838722	rs6762	8e-09	27863252	"Mean platelet volume"
chr7	6502367	6502367	rs6796	2e-50	27863252	"Granulocyte percentage of myeloid white cells"
chr7	6502367	6502367	rs6796	1e-36	27863252	"Monocyte count"
chr7	6502367	6502367	rs6796	5e-45	27863252	"Monocyte percentage of white cells"
chr7	6502367	6502367	rs6796	5e-15	27863252	"Mean platelet volume"
chr17	27187789	27187789	rs6803	4e-53	27863252	"Immature fraction of reticulocytes"
chr19	45392254	45392254	rs6857	3e-21	25188341	"Cerebral amyloid angiopathy"
chr19	45392254	45392254	rs6857	2e-62	25188341	"Dementia and core Alzheimer's disease neuropathologic changes"
chr19	45392254	45392254	rs6857	3e-38	25188341	"Dementia and core Alzheimer's disease neuropathologic changes"
chr19	45392254	45392254	rs6857	1e-10	23419831	"Alzheimer's disease biomarkers"
chr19	45392254	45392254	rs6857	7e-10	26833246	"Body fat percentage"
chr19	45392254	45392254	rs6857	5e-44	25188341	"Neurofibrillary tangles"
chr19	45392254	45392254	rs6857	4e-13	25648963	"Verbal declarative memory"
chr19	45392254	45392254	rs6857	7e-09	26833246	"Body fat percentage"
chr19	45392254	45392254	rs6857	2e-27	25188341	"Neuritic plaque"
chr19	45392254	45392254	rs6857	5e-47	25188341	"Neurofibrillary tangles"
chr19	45392254	45392254	rs6857	3e-47	25188341	"Neuritic plaque"
chr19	45392254	45392254	rs6857	4e-13	25648963	"Verbal declarative memory"
chr19	45392254	45392254	rs6857	7e-18	28183528	"Alzheimer's disease"
chr19	45392254	45392254	rs6857	7e-09	27189021	"Type 2 diabetes"
chr19	45382034	45382034	rs6859	6e-14	18823527	"Alzheimer's disease"
chr6	30313340	30313340	rs6986	8e-09	29255261	"Neuroticism"
chr4	72618334	72618334	rs7041	1e-246	24740207	"Serum vitamin D-binding protein levels"
chr11	117156552	117156552	rs7083	6e-14	28240269	"Blood protein levels"
chr6	32412480	32412480	rs7194	6e-09	28448500	"Waist-to-hip ratio adjusted for body mass index"
chr11	59940599	59940599	rs7232	4e-09	23969696	"Fibrinogen"
chr2	20878820	20878820	rs7255	9e-11	27527254	"Barrett's esophagus  or Esophageal adenocarcinoma"
chr2	162092640	162092640	rs7309	3e-17	29326435	"Intelligence (multi-trait analysis)"
chr2	162092640	162092640	rs7309	9e-11	29186694	"Cognitive ability (multi-trait analysis)"
chr10	81114060	81114060	rs7332	4e-11	27863252	"High light scatter reticulocyte count"
chr19	45412079	45412079	rs7412	3e-53	24023260	"Lipid traits"
chr19	45412079	45412079	rs7412	3e-10	28512139	"Lipoprotein (a) levels"
chr19	45412079	45412079	rs7412	3e-19	28548082	"Low density lipoprotein cholesterol"
chr19	45412079	45412079	rs7412	9e-16	27179730	"Ideal cardiovascular health (clinical and behavioural)"
chr19	45412079	45412079	rs7412	2e-19	28714975	"Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)"
chr19	45412079	45412079	rs7412	2e-27	28753643	"Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease"
chr19	45412079	45412079	rs7412	7.99999999773478e-315	28334899	"Total cholesterol levels"
chr19	45412079	45412079	rs7412	3e-09	28512139	"Lipoprotein(a) levels adjusted for apolipoprotein(a) isoforms"
chr19	45412079	45412079	rs7412	4e-10	28135244	"Pulse pressure"
chr19	45412079	45412079	rs7412	5e-94	28270201	"Cholesterol, total"
chr19	45412079	45412079	rs7412	2e-09	23067351	"LDL cholesterol"
chr19	45412079	45412079	rs7412	8e-239	25961943	"Cholesterol, total"
chr19	45412079	45412079	rs7412	3e-38	27863252	"High light scatter reticulocyte percentage of red cells"
chr19	45412079	45412079	rs7412	2e-35	29212778	"Coronary artery disease"
chr19	45412079	45412079	rs7412	8e-78	28753643	"Lipoprotein phospholipase A2 activity in cardiovascular disease"
chr19	45412079	45412079	rs7412	7e-15	28371326	"LDL cholesterol levels"
chr19	45412079	45412079	rs7412	6e-14	28270201	"HDL cholesterol"
chr19	45412079	45412079	rs7412	4e-38	27863252	"Immature fraction of reticulocytes"
chr19	45412079	45412079	rs7412	2e-286	28334899	"LDL cholesterol levels"
chr19	45412079	45412079	rs7412	3e-39	29212778	"Coronary artery disease"
chr19	45412079	45412079	rs7412	2e-44	27863252	"Red cell distribution width"
chr19	45412079	45412079	rs7412	2e-30	24023260	"Lipid traits"
chr19	45412079	45412079	rs7412	3e-39	29212778	"Coronary artery disease"
chr19	45412079	45412079	rs7412	2e-120	27005778	"Metabolite levels (lipoprotein measures)"
chr19	45412079	45412079	rs7412	1e-35	27863252	"High light scatter reticulocyte count"
chr19	45412079	45412079	rs7412	9e-18	27863252	"Reticulocyte count"
chr19	45412079	45412079	rs7412	9e-19	20838585	"Cardiovascular risk factors"
chr19	45412079	45412079	rs7412	4e-20	27863252	"Reticulocyte fraction of red cells"
chr19	45412079	45412079	rs7412	3e-58	22286219	"Lipid metabolism phenotypes"
chr19	45412079	45412079	rs7412	2e-47	22331829	"Response to statins (LDL cholesterol change)"
chr4	170642246	170642246	rs7438	7e-11	28991256	"Schizophrenia"
chr22	21976934	21976934	rs7444	2e-22	26502338	"Systemic lupus erythematosus"
chr22	21976934	21976934	rs7444	1e-13	27399966	"Systemic lupus erythematosus"
chr8	17913970	17913970	rs7508	6e-10	28416818	"Atrial fibrillation"
chr2	16733928	16733928	rs7552	6e-22	28232668	"Nonsyndromic cleft lip with cleft palate"
chr20	44576502	44576502	rs7679	7e-11	19060906	"Triglycerides"
chr20	44576502	44576502	rs7679	4e-09	19060906	"HDL cholesterol"
chr19	41302706	41302706	rs7937	3e-09	22080838	"Chronic obstructive pulmonary disease"
chr19	13010520	13010520	rs8012	2e-10	27863252	"Mean corpuscular hemoglobin"
chr19	13010520	13010520	rs8012	6e-45	24816252	"Blood metabolite levels"
chr19	13010520	13010520	rs8012	1e-10	27863252	"Mean corpuscular volume"
chr19	17389704	17389704	rs8170	1e-12	27117709	"Breast cancer (estrogen-receptor negative)"
chr19	17389704	17389704	rs8170	9e-13	23535733	"Breast cancer"
chr19	17389704	17389704	rs8170	7e-21	27117709	"Breast cancer"
chr19	17389704	17389704	rs8170	5e-14	25581431	"Epithelial ovarian cancer"
chr19	17389704	17389704	rs8170	4e-13	23544013	"Breast Cancer in BRCA1 mutation carriers"
chr19	17389704	17389704	rs8170	3e-14	23535730	"Ovarian cancer"
chr19	17389704	17389704	rs8170	2e-09	20852631	"Breast cancer"
chr7	92236164	92236164	rs8179	1e-17	27863252	"Neutrophil count"
chr7	92236164	92236164	rs8179	2e-19	27863252	"Sum neutrophil eosinophil counts"
chr7	92236164	92236164	rs8179	1e-18	27863252	"Sum basophil neutrophil counts"
chr7	92236164	92236164	rs8179	8e-09	27863252	"White blood cell count (basophil)"
chr7	92236164	92236164	rs8179	1e-14	27863252	"White blood cell count"
chr7	92236164	92236164	rs8179	3e-20	27863252	"Granulocyte count"
chr7	92236164	92236164	rs8179	1e-16	27863252	"Myeloid white cell count"
chr11	117283676	117283676	rs8258	3e-13	28135244	"Pulse pressure"
chr6	32083300	32083300	rs8283	2e-17	28240269	"Blood protein levels"
chr6	30032522	30032522	rs8321	8e-09	23453885	"Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)"
chr6	30032522	30032522	rs8321	4e-18	28604730	"Lung cancer"
chr6	30032522	30032522	rs8321	2e-13	28604730	"Squamous cell lung carcinoma"
chr4	159630817	159630817	rs8396	4e-24	20037589	"Metabolite levels"
chr4	159630817	159630817	rs8396	3e-26	28240269	"Blood protein levels"
chr4	159630817	159630817	rs8396	6e-15	21886157	"Metabolic traits"
chr4	159630817	159630817	rs8396	3e-14	26068415	"Acylcarnitine levels"
chr4	159630817	159630817	rs8396	2e-18	26068415	"Acylcarnitine levels"
chr4	159630817	159630817	rs8396	1e-31	24816252	"Blood metabolite levels"
chr4	159630817	159630817	rs8396	9e-13	24816252	"Blood metabolite levels"
chr4	159630817	159630817	rs8396	9e-38	24816252	"Blood metabolite levels"
chr6	10981053	10981053	rs8523	4e-09	25500335	"Red blood cell fatty acid levels"
chr17	27588806	27588806	rs8614	4e-09	29397368	"Headache"
chr11	128328913	128328913	rs8705	2e-09	27863252	"Sum neutrophil eosinophil counts"
chr11	128328913	128328913	rs8705	2e-11	27863252	"Myeloid white cell count"
chr11	128328913	128328913	rs8705	3e-09	27863252	"Neutrophil count"
chr11	128328913	128328913	rs8705	1e-15	27863252	"White blood cell count"
chr11	128328913	128328913	rs8705	1e-09	27863252	"Sum basophil neutrophil counts"
chr11	128328913	128328913	rs8705	9e-10	27863252	"Granulocyte count"
chr19	54677189	54677189	rs8736	8e-18	24816252	"Blood metabolite levels"
chr17	7417640	7417640	rs8753	8e-18	26424050	"Non-glioblastoma glioma"
chr12	66359752	66359752	rs8756	5e-14	19343178	"Height"
chr12	66359752	66359752	rs8756	2e-16	18391951	"Height"
chr12	66359752	66359752	rs8756	5e-90	25282103	"Height"
chr19	4502201	4502201	rs8887	7e-34	27863252	"Mean corpuscular hemoglobin concentration"
chr19	4502201	4502201	rs8887	3e-81	27863252	"Mean corpuscular volume"
chr19	4502201	4502201	rs8887	2e-68	27863252	"Immature fraction of reticulocytes"
chr19	4502201	4502201	rs8887	3e-13	27863252	"Hemoglobin concentration"
chr19	4502201	4502201	rs8887	1e-12	27863252	"High light scatter reticulocyte percentage of red cells"
