## omim
## OMIM genes, Online Mendelian Inheritance in Man
## hg19, source=gm.omim created=23MAY2016:19:02:25
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 5935 entries. Columns: 7
#chr	bp1	bp2	geneName	OMIMgene	OMIMdisease	type
chr11	17414432	17498449	ABCC8	600937	125853	"Diabetes mellitus, type 2, susceptibility to"
chr11	17414432	17498449	ABCC8	600937	606176	"Diabetes, permanent neonatal"
chr11	17414432	17498449	ABCC8	600509	256450	"Hyperinsulinemic hypoglycemia, familial, 1"
chr11	17414432	17498449	ABCC8	600937	601820	"Hyperinsulinemic hypoglycemia, familial, 2"
chr11	17414432	17498449	ABCC8	600509	240800	"Hypoglycemia of infancy, leucine-sensitive"
chr11	17414432	17498449	ABCC8	600937	616329	"Maturity-onset diabetes of the young, type 13"
chr12	21950335	22094336	ABCC9	601439	614050	"Atrial fibrillation, familial, 12"
chr12	21950335	22094336	ABCC9	601439	608569	"Cardiomyopathy, dilated, 1O"
chr12	21950335	22094336	ABCC9	601439	239850	"Hypertrichotic osteochondrodysplasia"
chrX	152990323	153010216	ABCD1	300371	300100	"Adrenoleukodystrophy"
chrX	152990323	153010216	ABCD1	300371	300100	"Adrenomyeloneuropathy, adult"
chr14	74752126	74769759	ABCD4	603214	614857	"Methylmalonic aciduria and homocystinuria, cblJ type"
chr4	89011416	89152474	ABCG2	603756	614490	"Junior blood group system"
chr4	89011416	89152474	ABCG2	603756	138900	"Uric acid concentration, serum, QTL1"
chr2	44039611	44066004	ABCG5	605459	210250	"Sitosterolemia"
chr2	44066103	44105605	ABCG8	605460	611465	"Gallbladder disease 4"
chr2	44066103	44105605	ABCG8	605460	210250	"Sitosterolemia"
chr20	25275379	25371619	ABHD12	613599	612674	"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract"
chr3	43731605	43775863	ABHD5	604780	275630	"Chanarin-Dorfman syndrome"
chr9	133589333	133763062	ABL1	189980	0	"Leukemia, Philadelphia chromosome-positive, resistant to imatinib"
chr1	179068462	179198819	ABL2	164690	0	"Leukemia, acute myeloid, with eosinophilia"
chr9	136125788	136150617	ABO	110300	616093	"Blood group, ABO system"
chr17	35441923	35766909	ACACA	200350	613933	"Acetyl-CoA carboxylase deficiency"
chr11	134123389	134135749	ACAD8	604773	611283	"Isobutyryl-CoA dehydrogenase deficiency"
chr3	128598439	128634910	ACAD9	611103	611126	"Mitochondrial complex I deficiency due to ACAD9 deficiency"
chr1	76190036	76253260	ACADM	607008	201450	"Acyl-CoA dehydrogenase, medium chain, deficiency of"
chr12	121163538	121177811	ACADS	606885	201470	"Acyl-CoA dehydrogenase, short-chain, deficiency of"
chr10	124768495	124817827	ACADSB	600301	610006	"2-methylbutyrylglycinuria"
chr17	7120444	7128592	ACADVL	609575	201475	"VLCAD deficiency"
chr15	89346674	89418585	ACAN	155760	165800	"Osteochondritis dissecans, short stature, and early-onset osteoarthritis"
chr15	89346674	89418585	ACAN	155760	612813	"Spondyloepimetaphyseal dysplasia, aggrecan type"
chr15	89346674	89418585	ACAN	155760	608361	"Spondyloepiphyseal dysplasia, Kimberley type"
chr11	107992243	108018503	ACAT1	607809	203750	"Alpha-methylacetoacetic aciduria"
chr17	61554422	61599205	ACE	106180	104300	"Alzheimer disease, susceptibility to"
chr17	61554422	61599205	ACE	106180	0	"Angiotensin I-converting enzyme, benign serum increase"
chr17	61554422	61599205	ACE	106180	612624	"Microvascular complications of diabetes 3"
chr17	61554422	61599205	ACE	106180	0	"Myocardial infarction, susceptibility to"
chr17	61554422	61599205	ACE	106180	267430	"Renal tubular dysgenesis"
chr17	61554422	61599205	ACE	106180	0	"SARS, progression of"
chr17	61554422	61599205	ACE	106180	614519	"Stroke, hemorrhagic"
chr7	100487615	100494594	ACHE	100740	112100	"Blood group, Yt system"
chr3	132316081	132337811	ACKR4	132100	0	"Photoparoxysmal response 1"
chr22	41865129	41924993	ACO2	100850	614559	"Infantile cerebellar-retinal degeneration"
chr5	80625824	80689998	ACOT12	603945	603896	"Leukoencephalopathy with vanishing white matter"
chr5	80625824	80689998	ACOT12	603945	603896	"Ovarioleukodystrophy"
chr17	73937588	73975515	ACOX1	609751	264470	"Peroxisomal acyl-CoA oxidase deficiency"
chr19	11685475	11689823	ACP5	171640	607944	"Spondyloenchondrodysplasia with immune dysregulation"
chr16	89154783	89222254	ACSF3	614245	614265	"Combined malonic and methylmalonic aciduria"
chrX	108867473	108976632	ACSL4	300157	300387	"Mental retardation, X-linked 63"
chr5	131142683	131347936	ACSL6	604443	0	"Myelodysplastic syndrome"
chr5	131142683	131347936	ACSL6	604443	0	"Myelogenous leukemia, acute"
chr1	229566992	229569845	ACTA1	102610	161800	"Myopathy, actin, congenital, with cores"
chr1	229566992	229569845	ACTA1	102610	161800	"Myopathy, actin, congenital, with excess of thin myofilaments"
chr1	229566992	229569845	ACTA1	102610	255310	"Myopathy, congenital, with fiber-type disproportion 1"
chr1	229566992	229569845	ACTA1	102610	161800	"Nemaline myopathy 3, autosomal dominant or recessive"
chr10	90694831	90751147	ACTA2	102620	611788	"Aortic aneurysm, familial thoracic 6"
chr10	90694831	90751147	ACTA2	102620	614042	"Moyamoya disease 5"
chr10	90694831	90751147	ACTA2	102620	613834	"Multisystemic smooth muscle dysfunction syndrome"
chr7	5566782	5603415	ACTB	102630	243310	"Baraitser-Winter syndrome 1"
chr15	35080297	35088340	ACTC1	102540	612794	"Atrial septal defect 5"
chr15	35080297	35088340	ACTC1	102540	613424	"Cardiomyopathy, dilated, 1R"
chr15	35080297	35088340	ACTC1	102540	612098	"Cardiomyopathy, hypertrophic, 11"
chr15	35080297	35088340	ACTC1	102540	613424	"Left ventricular noncompaction 4"
chr17	79476997	79490873	ACTG1	102560	614583	"Baraitser-Winter syndrome 2"
chr17	79476997	79490873	ACTG1	102560	604717	"Deafness, autosomal dominant 20/26"
chr2	74119441	74146992	ACTG2	102545	155310	"Visceral myopathy"
chr14	69340860	69446157	ACTN1	102575	615193	"Bleeding disorder, platelet-type, 15"
chr1	236849754	236927931	ACTN2	102573	612158	"Cardiomyopathy, dilated, 1AA, with or without LVNC"
chr1	236849754	236927931	ACTN2	102573	612158	"Cardiomyopathy, hypertrophic, 23, with or without LVNC"
chr11	66313866	66330800	ACTN3	102574	0	"Alpha-actinin-3 deficiency"
chr11	66313866	66330800	ACTN3	102574	0	"Sprinting performance"
chr19	39138289	39222223	ACTN4	604638	603278	"Glomerulosclerosis, focal segmental, 1"
chr2	158592958	158732374	ACVR1	102576	135100	"Fibrodysplasia ossificans progressiva"
chr12	52345451	52390862	ACVR1B	601300	0	"Pancreatic cancer, somatic"
chr3	38495342	38534633	ACVR2B	602730	613751	"Heterotaxy, visceral, 4, autosomal"
chr12	52300692	52317145	ACVRL1	601284	600376	"Telangiectasia, hereditary hemorrhagic, type 2"
chr3	52009066	52023213	ACY1	104620	609924	"Aminoacylase 1 deficiency"
chr20	43248163	43280874	ADA	608958	102700	"Adenosine deaminase deficiency, partial"
chr20	43248163	43280874	ADA	608958	102700	"Severe combined immunodeficiency due to ADA deficiency"
chr15	58887403	59042177	ADAM10	602192	615590	"Alzheimer disease 18, susceptibility to"
chr15	58887403	59042177	ADAM10	602192	615537	"Reticulate acropigmentation of Kitamura"
chr10	135075907	135090372	ADAM8	612594	0	"Multiple sclerosis, susceptibility to, 2"
chr8	38854388	38962663	ADAM9	602713	612775	"Cone-rod dystrophy 9"
chr19	8645126	8675620	ADAMTS10	608990	277600	"Weill-Marchesani syndrome 1, recessive"
chr9	136279478	136324508	ADAMTS13	604134	274150	"Thrombotic thrombocytopenic purpura, familial"
chr15	100511794	100882210	ADAMTS17	607511	613195	"Weill-Marchesani-like syndrome"
chr16	77281710	77469011	ADAMTS18	607512	615458	"Microcornea, myopic chorioretinal atrophy, and telecanthus"
chr5	178537852	178772431	ADAMTS2	604539	225410	"Ehlers-Danlos syndrome, type VIIC"
chr9	136397286	136440641	ADAMTSL2	612277	231050	"Geleophysic dysplasia 1"
chr1	150521884	150533413	ADAMTSL4	610113	225200	"Ectopia lentis et pupillae"
chr1	150521884	150533413	ADAMTSL4	610113	225100	"Ectopia lentis, isolated, autosomal recessive"
chr1	154554538	154600475	ADAR	146920	615010	"Aicardi-Goutieres syndrome 6"
chr1	154554538	154600475	ADAR	146920	127400	"Dyschromatosis symmetrica hereditaria"
chr19	1905377	1913444	ADAT3	615302	615286	"Mental retardation, autosomal recessive 36"
chr1	227085237	227175246	ADCK3	606980	612016	"Coenzyme Q10 deficiency, primary, 4"
chr19	41197434	41224112	ADCK4	615567	615573	"Nephrotic syndrome, type 9"
chr1	167778625	167883453	ADCY10	605205	143870	"Hypercalciuria, absorptive, susceptibility to"
chr3	123001143	123168605	ADCY5	600293	606703	"Dyskinesia, familial, with facial myokymia"
chr4	2845584	2931803	ADD1	102680	145500	"Hypertension, essential, salt-sensitive"
chr4	100226121	100242558	ADH1B	103720	0	"Aerodigestive tract cancer, squamous cell, alcohol-related, protection against"
chr4	100226121	100242558	ADH1B	103720	103780	"Alcohol dependence, protection against"
chr4	100257649	100274184	ADH1C	103730	103780	"Alcohol dependence, protection against"
chr4	100257649	100274184	ADH1C	103730	168600	"Parkinson disease, susceptibility to"
chr3	186560463	186576252	ADIPOQ	605441	612556	"Adiponectin deficiency"
chr10	75910960	76469061	ADK	102750	614300	"Hypermethioninemia due to adenosine kinase deficiency"
chr20	49505585	49547958	ADNP	611386	615873	"Helsmoortel-van der Aa syndrome"
chr2	96778707	96781984	ADRA2B	104260	607876	"Epilepsy, myoclonic, familial adult, 2"
chr4	3768075	3770251	ADRA2C	104250	0	"Congestive heart failure and beta-blocker response, modifier of"
chr10	115803806	115806667	ADRB1	109630	0	"Congestive heart failure and beta-blocker response, modifier of"
chr10	115803806	115806667	ADRB1	109630	607276	"Resting heart rate"
chr5	148206156	148208196	ADRB2	109690	600807	"Asthma, nocturnal, susceptibility to"
chr5	148206156	148208196	ADRB2	109690	0	"Beta-2-adrenoreceptor agonist, reduced response to"
chr5	148206156	148208196	ADRB2	109690	601665	"Obesity, susceptibility to"
chr8	37820516	37824483	ADRB3	109691	601665	"Obesity, susceptibility to"
chr22	40742507	40786467	ADSL	608222	103050	"Adenylosuccinase deficiency"
chrX	147582139	148082193	AFF2	300806	309548	"Mental retardation, X-linked, FRAXE type"
chr5	132211071	132299326	AFF4	604417	616368	"CHOPS syndrome"
chr18	12328943	12377313	AFG3L2	604581	614487	"Ataxia, spastic, 5, autosomal recessive"
chr18	12328943	12377313	AFG3L2	604581	610246	"Spinocerebellar ataxia 28"
chr4	74296855	74321891	AFP	104150	615969	"Alpha-fetoprotein deficiency"
chr4	74296855	74321891	AFP	104150	615970	"Hereditary persistence of alpha-fetoprotein"
chr4	178351924	178363657	AGA	613228	208400	"Aspartylglucosaminuria"
chr15	86685227	87572283	AGBL1	615496	615523	"Corneal dystrophy, Fuchs endothelial, 8"
chr7	141250989	141355044	AGK	610345	614691	"Cataract 38, autosomal recessive"
chr7	141250989	141355044	AGK	610345	212350	"Sengers syndrome"
chr1	100315640	100389579	AGL	610860	232400	"Glycogen storage disease IIIa"
chr1	100315640	100389579	AGL	610860	232400	"Glycogen storage disease IIIb"
chr9	139567595	139581875	AGPAT2	603100	608594	"Lipodystrophy, congenital generalized, type 1"
chr2	178257372	178408564	AGPS	603051	600121	"Rhizomelic chondrodysplasia punctata, type 3"
chr1	955503	991496	AGRN	103320	615120	"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects"
chr16	67516474	67517716	AGRP	602311	0	"Leanness, inherited"
chr16	67516474	67517716	AGRP	602311	601665	"Obesity, late-onset"
chr1	230838269	230850043	AGT	106150	145500	"Hypertension, essential, susceptibility to"
chr1	230838269	230850043	AGT	106150	0	"Preeclampsia, susceptibility to"
chr1	230838269	230850043	AGT	106150	267430	"Renal tubular dysgenesis"
chr3	148415571	148460795	AGTR1	106165	145500	"Hypertension, essential"
chr3	148415571	148460795	AGTR1	106165	267430	"Renal tubular dysgenesis"
chrX	115301975	115306225	AGTR2	300852	0	"Mental retardation, X-linked 88"
chr2	241807896	241819919	AGXT	604285	259900	"Hyperoxaluria, primary, type 1"
chr20	32868074	32899608	AHCY	180960	613752	"Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase"
chr1	27860546	27930942	AHDC1	615790	615829	"Xia-Gibbs syndrome"
chr6	135604670	135818914	AHI1	608894	608629	"Joubert syndrome-3"
chr12	8754762	8765467	AICDA	605257	605258	"Immunodeficiency with hyper-IgM, type 2"
chrX	129263337	129299861	AIFM1	300169	300816	"Combined oxidative phosphorylation deficiency 6"
chrX	129263337	129299861	AIFM1	300169	310490	"Cowchock syndrome"
chrX	129263337	129299861	AIFM1	300169	300614	"Deafness, X-linked 5"
chr6	106959730	107018326	AIM1	606202	606574	"Albinism, oculocutaneous, type IV"
chr6	106959730	107018326	AIM1	606202	227240	"Skin/hair/eye pigmentation 5, black/nonblack hair"
chr6	106959730	107018326	AIM1	606202	227240	"Skin/hair/eye pigmentation 5, dark/fair skin"
chr6	106959730	107018326	AIM1	606202	227240	"Skin/hair/eye pigmentation 5, dark/light eyes"
chr4	107236701	107270383	AIMP1	603605	260600	"Leukodystrophy, hypomyelinating, 3"
chr11	67250512	67258574	AIP	605555	219090	"Pituitary adenoma, ACTH-secreting"
chr11	67250512	67258574	AIP	605555	102200	"Pituitary adenoma, growth hormone-secreting"
chr11	67250512	67258574	AIP	605555	600634	"Pituitary adenoma, prolactin-secreting"
chr17	6297013	6338519	AIPL1	604392	604393	"Cone-rod dystrophy"
chr17	6297013	6338519	AIPL1	604392	604393	"Leber congenital amaurosis 4"
chr17	6297013	6338519	AIPL1	604392	604393	"Retinitis pigmentosa, juvenile"
chr21	45705721	45718531	AIRE	607358	240300	"Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia"
chr6	160424323	160428696	AIRN	601676	0	"Acute insulin response"
chr9	130628759	130640022	AK1	103000	612631	"Hemolytic anemia due to adenylate kinase deficiency"
chr1	33473585	33546597	AK2	103020	267500	"Reticular dysgenesis"
chr17	19807615	19881656	AKAP10	604694	115080	"Cardiac conduction defect, susceptibility to"
chr10	4934796	5025475	AKR1C1	142700	0	"Developmental dysplasia of the hip 1"
chr10	5029967	5060223	AKR1C2	600450	614279	"46XY sex reversal 8"
chr10	5029967	5060223	AKR1C2	615612	0	"Developmental dysplasia of the hip 2"
chr10	5029967	5060223	AKR1C2	600450	0	"Obesity, hyperphagia, and developmental delay"
chr10	5237425	5260912	AKR1C4	600451	614279	"46XY sex reversal 8, modifier of"
chr7	137687070	137802732	AKR1D1	604741	235555	"Bile acid synthesis defect, congenital, 2"
chr14	105235686	105262088	AKT1	164730	114480	"Breast cancer, somatic"
chr14	105235686	105262088	AKT1	164730	114500	"Colorectal cancer, somatic"
chr14	105235686	105262088	AKT1	164730	615109	"Cowden syndrome 6"
chr14	105235686	105262088	AKT1	164730	167000	"Ovarian cancer, somatic"
chr14	105235686	105262088	AKT1	164730	176920	"Proteus syndrome, somatic"
chr14	105235686	105262088	AKT1	164730	181500	"Schizophrenia, susceptibility to"
chr19	40736224	40791443	AKT2	164731	125853	"Diabetes mellitus, type II"
chr19	40736224	40791443	AKT2	164731	240900	"Hypoinsulinemic hypoglycemia with hemihypertrophy"
chr1	243651535	244014381	AKT3	611223	615937	"Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2"
chr9	116148597	116163613	ALAD	125270	612740	"Lead poisoning, susceptibility to"
chr9	116148597	116163613	ALAD	125270	612740	"Porphyria, acute hepatic"
chrX	55035488	55057497	ALAS2	301300	300751	"Anemia, sideroblastic, 1"
chrX	55035488	55057497	ALAS2	301300	300752	"Protoporphyria, erythropoietic, X-linked"
chr4	74262831	74287129	ALB	103600	616000	"Analbuminemia"
chr4	74262831	74287129	ALB	103600	615999	"Dysalbuminemic hyperthyroxinemia"
chr10	97365696	97416463	ALDH18A1	138250	616603	"Cutis laxa, autosomal dominant 3"
chr10	97365696	97416463	ALDH18A1	138250	219150	"Cutis laxa, autosomal recessive, type IIIA"
chr10	97365696	97416463	ALDH18A1	138250	601162	"Spastic paraplegia 9A, autosomal dominant"
chr10	97365696	97416463	ALDH18A1	138250	616586	"Spastic paraplegia 9B, autosomal recessive"
chr15	101417919	101456831	ALDH1A3	600463	615113	"Microphthalmia, isolated 8"
chr12	112204691	112247782	ALDH2	100650	610251	"Alcohol sensitivity, acute"
chr12	112204691	112247782	ALDH2	100650	0	"Esophageal cancer, alcohol-related, susceptibility to"
chr12	112204691	112247782	ALDH2	100650	610251	"Hangover, susceptibility to"
chr12	112204691	112247782	ALDH2	100650	0	"Sublingual nitroglycerin, susceptibility to poor response to"
chr17	19551449	19580911	ALDH3A2	609523	270200	"Sjogren-Larsson syndrome"
chr1	19197926	19229275	ALDH4A1	606811	239510	"Hyperprolinemia, type II"
chr6	24495080	24537435	ALDH5A1	610045	271980	"Succinic semialdehyde dehydrogenase deficiency"
chr14	74523553	74551196	ALDH6A1	603178	614105	"Methylmalonate semialdehyde dehydrogenase deficiency"
chr5	125877533	125931110	ALDH7A1	107323	266100	"Epilepsy, pyridoxine-dependent"
chr16	30064411	30081778	ALDOA	103850	611881	"Glycogen storage disease XII"
chr9	104182860	104198105	ALDOB	612724	229600	"Fructose intolerance"
chr16	5083703	5137380	ALG1	605907	608540	"Congenital disorder of glycosylation, type Ik"
chr12	34175216	34182629	ALG10	603313	613688	"Long QT syndrome, acquired, reduced susceptibility to"
chr12	38710380	38717784	ALG10B	603313	613688	"Long QT syndrome, acquired, reduced susceptibility to"
chr13	52586534	52603800	ALG11	613666	613661	"Congenital disorder of glycosylation, type Ip"
chr22	50293877	50312106	ALG12	607144	607143	"Congenital disorder of glycosylation, type Ig"
chrX	110909043	111003877	ALG13	300776	300884	"Epileptic encephalopathy, early infantile, 36"
chr9	101978708	101984238	ALG2	607905	616228	"Myasthenic syndrome, congenital, 14, with tubular aggregates"
chr3	183960089	183967336	ALG3	608750	601110	"Congenital disorder of glycosylation, type Id"
chr1	63833261	63904233	ALG6	604566	603147	"Congenital disorder of glycosylation, type Ic"
chr11	77811982	77850706	ALG8	608103	608104	"Congenital disorder of glycosylation, type Ih"
chr11	111652919	111742305	ALG9	606941	608776	"Congenital disorder of glycosylation, type Il"
chr11	111652919	111742305	ALG9	606941	263210	"Gillessen-Kaesbach-Nishimura syndrome"
chr2	29415640	30144432	ALK	105590	613014	"Neuroblastoma, susceptibility to, 3"
chr2	73612886	73837920	ALMS1	606844	203800	"Alstrom syndrome"
chr17	7975954	7991021	ALOX12B	603741	242100	"Ichthyosis, congenital, autosomal recessive 2"
chr10	45869661	45941561	ALOX5	152390	600807	"Asthma, diminished response to antileukotriene treatment in"
chr10	45869661	45941561	ALOX5	152390	0	"Atherosclerosis, susceptibility to"
chr13	31309645	31338556	ALOX5AP	603700	601367	"Stroke, susceptibility to"
chr17	7999218	8022365	ALOXE3	607206	606545	"Ichthyosis, congenital, autosomal recessive 3"
chr1	21835858	21904905	ALPL	171760	146300	"Hypophosphatasia, adult"
chr1	21835858	21904905	ALPL	171760	241510	"Hypophosphatasia, childhood"
chr1	21835858	21904905	ALPL	171760	241500	"Hypophosphatasia, infantile"
chr1	21835858	21904905	ALPL	171760	146300	"Odontohypophosphatasia"
chr2	202565277	202645912	ALS2	606352	205100	"Amyotrophic lateral sclerosis 2, juvenile"
chr2	202565277	202645912	ALS2	606352	606353	"Primary lateral sclerosis, juvenile"
chr2	202565277	202645912	ALS2	606352	607225	"Spastic paralysis, infantile onset ascending"
chr1	110602616	110613322	ALX3	606014	136760	"Frontonasal dysplasia 1"
chr11	44281994	44331716	ALX4	605420	615529	"Craniosynostosis 5, susceptibility to"
chr11	44281994	44331716	ALX4	605420	613451	"Frontonasal dysplasia 2"
chr11	44281994	44331716	ALX4	605420	609597	"Parietal foramina 2"
chr5	33986283	34008220	AMACR	604489	614307	"Alpha-methylacyl-CoA racemase deficiency"
chr5	33986283	34008220	AMACR	604489	214950	"Bile acid synthesis defect, congenital, 4"
chr4	71457973	71473005	AMBN	601259	616270	"Amelogenesis imperfecta, type IF"
chrX	11311533	11318881	AMELX	300391	301200	"Amelogenesis imperfecta, type 1E"
chrX	63404997	63425624	AMER1	300647	300373	"Osteopathia striata with cranial sclerosis"
chr19	2249308	2252072	AMH	600957	261550	"Persistent Mullerian duct syndrome, type I"
chr12	53817639	53825318	AMHR2	600956	261550	"Persistent Mullerian duct syndrome, type II"
chr14	103388993	103399933	AMN	300371	300100	"Adrenoleukodystrophy"
chr14	103388993	103399933	AMN	300371	300100	"Adrenomyeloneuropathy, adult"
chr14	103388993	103399933	AMN	605799	261100	"Megaloblastic anemia-1, Norwegian type"
chr1	115215719	115238239	AMPD1	102770	615511	"Myopathy due to myoadenylate deaminase deficiency"
chr1	110158726	110174673	AMPD2	102771	615809	"Pontocerebellar hypoplasia, type 9"
chr11	10329860	10529126	AMPD3	102772	612874	"AMP deaminase deficiency, erythrocytic"
chr3	49454211	49460186	AMT	238310	605899	"Glycine encephalopathy"
chr14	21152336	21167130	ANG	105850	611895	"Amyotrophic lateral sclerosis 9"
chr1	63063158	63071830	ANGPTL3	604774	605019	"Hypobetalipoproteinemia, familial, 2"
chr19	8428173	8439257	ANGPTL4	605910	615881	"Plasma triglyceride level QTL, low"
chr8	41510739	41754280	ANK1	612641	182900	"Spherocytosis, type 1"
chr4	113739265	114304896	ANK2	106410	600919	"Cardiac arrhythmia, ankyrin-B-related"
chr4	113739265	114304896	ANK2	106410	600919	"Long QT syndrome 4"
chr5	14704910	14871887	ANKH	605145	118600	"Chondrocalcinosis 2"
chr5	14704910	14871887	ANKH	605145	123000	"Craniometaphyseal dysplasia"
chr11	113258513	113271140	ANKK1	608774	0	"Dopamine receptor D2, reduced brain density of"
chr16	89334038	89556969	ANKRD11	611192	148050	"KBG syndrome"
chr10	27280843	27389421	ANKRD26	610855	188000	"Thrombocytopenia 2"
chr9	101493611	101559247	ANKS6	615370	615382	"Nephronophthisis 16"
chr7	36429415	36493400	ANLN	616027	616032	"Focal segmental glomerulosclerosis 8"
chr3	43396351	43733086	ANO10	613726	613728	"Spinocerebellar ataxia, autosomal recessive 10"
chr11	26210829	26684835	ANO3	610110	615034	"Dystonia 24"
chr11	22214722	22304903	ANO5	608662	166260	"Gnathodiaphyseal dysplasia"
chr11	22214722	22304903	ANO5	608662	613319	"Miyoshi muscular dystrophy 3"
chr11	22214722	22304903	ANO5	608662	611307	"Muscular dystrophy, limb-girdle, type 2L"
chr12	45609770	45834187	ANO6	608663	262890	"Scott syndrome"
chr2	69240310	69476459	ANTXR1	606410	230740	"GAPO syndrome"
chr2	69240310	69476459	ANTXR1	606410	602089	"Hemangioma, capillary infantile, susceptibility to"
chr4	80822303	81046608	ANTXR2	608041	228600	"Hyaline fibromatosis syndrome"
